Image_ID,Krank/Gesund,bone_Mean_Hist,bone_Median_Hist,bone_Std_Hist,bone_Skewness_Hist,bone_Kurtosis_Hist,bone_Contrast,bone_Dissimilarity,bone_Homogeneity,bone_Energy,bone_Correlation,bone_Entropy,bone_SRE,bone_LRE,bone_GLU,bone_RLU,bone_RPC,muscle_Mean_Hist,muscle_Median_Hist,muscle_Std_Hist,muscle_Skewness_Hist,muscle_Kurtosis_Hist,muscle_Contrast,muscle_Dissimilarity,muscle_Homogeneity,muscle_Energy,muscle_Correlation,muscle_Entropy,muscle_SRE,muscle_LRE,muscle_GLU,muscle_RLU,muscle_RPC
TU1R_148,0,93.57623291015625,79,56.31981224694992,0.8692408147497643,2.9580831854510197,145.64160539215686,9.176654411764707,0.11324107016735481,0.013116363982312541,0.9770178514187151,13.034815405097103,2.141,59.197,887.127,34925.624,53.39,130.118408203125,127,44.94762732507338,0.31443334900964387,2.5533464321352235,181.9924950787402,10.574434055118111,0.09178317634972888,0.012761145022123832,0.9547617226496096,12.881036070296906,2.241,34.812,385.513,11070.711,30.81
TU1R_211,1,62.72346496582031,48,43.5790184554662,1.3475140151463516,4.323067829674447,77.50312499999998,6.729166666666666,0.14630536723611082,0.019936644844635115,0.9796163626815816,12.077832089460186,2.04,133.802,1136.521,26187.367,42.864,52.69805908203125,45,29.682704483446038,1.6314574329910603,6.089508816343078,70.75947342519686,6.501968503937009,0.14653243500330587,0.02374938126537397,0.9598792056273855,11.401907371800224,1.988,169.272,629.765,5644.965,19.402
TU1R_125,0,86.3482666015625,79,43.334359190467495,0.9495132581299985,3.8713169244335823,159.90511642156864,9.702083333333334,0.10374743824183721,0.013421115390119068,0.9574455388517308,12.885609648066351,2.204,41.546,806.655,41875.498,59.471,90.66448974609375,86,36.854636111201195,0.7657471211342725,3.6664693517234657,174.57886318897644,10.291092519685044,0.09734769837283697,0.014588897693992452,0.9356253854730503,12.54323385340683,2.278,35.78,384.498,11682.597,31.249
TU1R_207,1,95.531005859375,90,43.376776666422735,0.7528256158669236,3.563614440397004,152.21680453431372,9.511075367647058,0.10718518984347937,0.013121417119067225,0.9595485215269894,12.909005214259535,2.23,39.555,790.624,45382.049,61.736,112.2606201171875,109,47.126712937268444,0.3394888506073907,2.581762685288015,244.1003937007875,12.202386811023626,0.08153171286416797,0.011856671727854755,0.9450207309958967,13.080633402090692,2.432,26.168,342.845,14063.025,34.471
TU1R_190,1,99.76531982421875,92,45.50796550049664,0.6602267249539021,2.9511283031769353,126.27670036764704,8.659175857843135,0.11436083575071163,0.013452942996966871,0.9695112258070352,12.839966851506937,1.963,50.894,896.824,32198.859,53.702,144.5963134765625,147,49.036149383597426,-0.2117634047554327,2.658435334396714,206.68823818897638,11.099409448818898,0.0926896737627332,0.012075041493198808,0.9571019740899591,13.042716875088228,2.377,29.697,356.974,13507.425,33.723
TU1L_122,0,94.47178649902344,83,49.937488363327056,0.8775010008428697,3.2008289337150986,111.19244791666668,8.156357230392157,0.12012381559934694,0.013897710255182681,0.9777313051572935,12.795504942711908,2.12,58.37,898.099,37227.398,55.01,115.18408203125,108,49.15588421209569,0.4964847927180336,2.7706411039008008,149.40643454724406,9.584584153543307,0.10032138064130401,0.012997085327434389,0.9690974131106276,12.841157014984377,2.408,34.718,370.191,14446.037,33.886
TU1R_185,1,74.82852172851562,58,60.52886185263246,0.9109545904023794,2.9135523055690844,160.2492493872549,9.062944240196078,0.1521474876680983,0.021015816998393323,0.9781198754014996,12.793563662859789,2.217,96.504,899.114,35600.095,52.008,95.8048095703125,90,47.318583310126776,0.5170696881007771,2.7335159219292895,261.099655511811,12.632258858267717,0.0785179414887202,0.011851963168102653,0.9417334597349659,13.090191602305737,2.436,26.588,345.211,13391.298,33.647
TU2R_70,0,74.70391845703125,55,51.802270533717234,1.4155922863969037,4.299827003996507,118.50848651960786,8.319332107843136,0.12047145669109321,0.01739524747634745,0.9778619721555969,12.497542006394813,2.09,106.85,1041.512,27776.874,45.078,134.3280029296875,132,48.66451546502137,0.14701590779605997,2.52807255585654,142.02639025590554,9.323388287401578,0.10541232608714768,0.012972094622466637,0.9699173831637842,12.83469722388298,2.273,37.439,387.704,12374.588,32.073
TU2R_73,0,92.29888916015625,83,59.979969159930306,0.5729270519091251,2.8142931392373476,98.96804534313729,7.263082107843138,0.21126237062175468,0.09025680241007407,0.9862463986919962,12.112145728184505,1.956,227.407,1050.767,27093.136,46.246,130.90875244140625,127,50.22213266022904,0.23737769425638633,2.341522028143452,158.3150836614173,9.877829724409448,0.09668147760339155,0.01245917916330078,0.9686680762547553,12.928533387650987,2.235,36.084,390.014,11355.965,30.986
TU2R_45,0,77.69102478027344,62,50.20935123488306,1.377132237992613,4.464227644485747,79.97832414215685,6.859727328431371,0.1423017410278375,0.017125560939349832,0.9841511856752646,12.365511745135285,1.94,99.509,1088.063,26234.773,45.474,86.65435791015625,74,47.154233170120946,1.0735387930193623,3.7140280245707946,101.44562007874018,7.837352362204725,0.12404558120391537,0.01621304695140427,0.9772036997646403,12.362226383077674,2.034,57.927,463.556,8529.989,26.757
TU2R_52,0,100.71580505371094,86,55.251020171003226,0.864766617479301,2.9624067123893174,107.21876531862748,7.962760416666668,0.1253999992225663,0.013729746610023151,0.9824246917517537,12.850404622444145,1.95,63.056,956.683,29696.403,50.638,112.41082763671875,105,43.99401379121371,0.7226476179534567,3.1716757890376375,100.55437992125982,7.915723425196851,0.11986596055128608,0.015123368597804377,0.9740012185399073,12.450353637722571,2.017,51.756,449.107,8990.69,27.804
TU1R_192,1,93.05868530273438,84,44.32882588481516,0.8749171928284315,3.4026271772616985,115.15088848039213,8.22490808823529,0.12215049427076105,0.014485724542651603,0.9707170984804733,12.68858547536181,1.87,59.357,959.956,27357.655,49.818,112.9525146484375,110,40.12467071789514,0.41839379134125676,3.0167787240742525,162.08329232283464,10.005167322834646,0.09674752169034756,0.013887648461007655,0.9496955476607649,12.668767232493419,2.075,38.673,410.498,9245.261,28.845
