Image_ID,Krank/Gesund,bone_Mean_Hist,bone_Median_Hist,bone_Std_Hist,bone_Skewness_Hist,bone_Kurtosis_Hist,bone_Contrast,bone_Dissimilarity,bone_Homogeneity,bone_Energy,bone_Correlation,bone_Entropy,bone_SRE,bone_LRE,bone_GLU,bone_RLU,bone_RPC,muscle_Mean_Hist,muscle_Median_Hist,muscle_Std_Hist,muscle_Skewness_Hist,muscle_Kurtosis_Hist,muscle_Contrast,muscle_Dissimilarity,muscle_Homogeneity,muscle_Energy,muscle_Correlation,muscle_Entropy,muscle_SRE,muscle_LRE,muscle_GLU,muscle_RLU,muscle_RPC
TU2R_102,1,69.46499633789062,56,39.50973809868209,1.4772916205321205,5.415501197002178,33.15358455882353,4.2837316176470575,0.22677174024494318,0.026854980447244478,0.9893941860233663,11.27876847689205,1.424,453.719,1783.099,10295.186,27.76,108.72015380859375,106,31.074334297408917,0.5144815413239419,3.1531859813625687,62.866572342519696,6.2183193897637805,0.1501907763173068,0.019635331478839134,0.967364310120459,11.745768566724102,1.644,86.455,566.77,5092.08,21.749
TU1L_219,1,94.73631286621094,81,61.45460214447021,1.0250263085799842,3.325555021483238,45.564675245098044,4.923223039215687,0.2170184180599955,0.026408656189212124,0.9939690672265559,11.873447230773422,1.959,665.547,1507.265,20724.741,34.432,87.48272705078125,74,46.89763067755836,1.2614666551212221,4.3877088268272395,46.06902066929135,5.110482283464566,0.19320374068661886,0.0216116038267104,0.9895638637543727,11.6868673030107,1.925,206.524,661.303,5841.743,19.959
TU1R_199,1,62.59625244140625,57,45.85489670818062,0.7311886344459657,2.9503659700874527,53.606924019607845,4.955851715686275,0.28639258054312916,0.05678913337421151,0.9872347157216017,11.139870013784705,1.737,424.873,1520.23,14450.005,31.065,98.58331298828125,96,30.7082178880515,0.5434574022002915,3.27777450086489,97.5132874015748,7.749384842519684,0.122580662217975,0.0180042628379562,0.9483932930971554,11.9949339525169,1.848,68.408,508.073,6033.198,23.297
TU2L_54,0,119.99275207519531,114,54.57582956257442,0.6900060296294398,2.8671627281534553,97.07545955882354,7.309436274509804,0.15259935880253261,0.022015127481666997,0.9837196318130116,12.497442611850923,1.96,101.709,1089.937,23578.864,43.185,119.65936279296875,108,49.93791183129837,0.7883813324668733,2.8420672036083756,73.98843503937007,6.658833661417322,0.1458174283481296,0.01779735749443822,0.9851822992097915,12.196787473572142,1.87,109.573,575.198,5570.105,21.207
TU1R_111,0,100.43870544433594,90,66.93890553539305,0.5684068771712253,2.335953527235692,86.2082567401961,6.383226102941177,0.20563874723481806,0.023569277730966974,0.9903617614112226,12.30698046843743,1.94,250.16,1272.058,19585.383,36.707,178.65289306640625,170,47.54584611809159,0.20757227857148525,2.016854605742304,101.56895915354329,7.438299704724408,0.18418314659515578,0.06067601683063478,0.9775267624344397,11.71897940845799,1.934,92.6,527.337,6319.814,22.862
TU2N_96,1,98.67790222167969,80,55.68125828663991,1.2919696276823733,3.8522423442709783,52.87921262254902,5.3929993872549025,0.19010115010415107,0.023243307847978838,0.9914731657900736,11.890373634100333,1.834,228.509,1395.088,16666.324,34.025,121.4329833984375,114,40.571699120412774,1.2399014244530813,4.796592300137035,109.85353100393702,8.121862696850394,0.12566717955962248,0.01919508208775044,0.9667018899927955,12.11984280951452,2.148,57.947,449.968,9053.154,27.24
TU2R_47,0,97.27177429199219,87,58.53632895108108,1.1964987963775453,3.9310456947687187,71.4833486519608,5.93797487745098,0.19941312827502242,0.028610027214941675,0.9895676204882847,11.949958810151772,1.791,285.581,1377.472,16609.943,34.498,119.7674560546875,100,60.349478628853426,0.95866399275128,2.8242119058673096,61.015625000000014,5.6131889763779546,0.20175056861332125,0.03805809355729576,0.9916104526219884,11.727907502817875,1.617,140.332,668.763,3832.946,18.121
TU1L_218,1,87.71214294433594,74,56.46775864479891,1.2654151901485398,4.128272638657823,41.30796568627451,4.718014705882352,0.21882290724706382,0.02431228334226381,0.993525167731563,11.763941253831286,1.932,632.784,1497.204,20193.06,34.655,92.8509521484375,84,39.26849903145341,1.8850457071409823,7.455864025381415,47.37641486220472,5.282664862204724,0.18184828799866698,0.02363001571379485,0.9846716287676347,11.392598709527558,1.851,118.312,590.809,5973.519,21.86
TU2L_151,0,90.85719299316406,76,48.499217307348374,1.2766815350102283,4.339186187042666,81.85372242647063,6.8881893382352954,0.14752765434999582,0.01843212853426216,0.9826113134347724,12.287547308202688,1.835,89.818,1084.11,23298.124,44.638,78.8294677734375,64,48.58536122135662,1.9970102953535966,6.986756097510052,55.682824803149614,5.612819881889763,0.1845803539188602,0.025326415226897818,0.988217723365311,11.460619079940514,1.758,139.931,616.755,5201.93,20.53
TU1L_243,1,79.18711853027344,83,61.2557779338697,0.4298758846921396,1.9931397917149851,46.783532475490205,4.53108149509804,0.2984700355735911,0.05609371289358501,0.9937696785401345,10.95760186911206,1.776,340.224,1448.598,15244.701,32.403,119.1572265625,117,21.72057234988254,0.6073207010868351,3.8889278894497603,58.105376476377955,5.996370570866142,0.15404220933343044,0.024118919831030605,0.938347246625841,11.202663343191752,1.655,147.783,677.726,3638.714,17.412
